epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.3599,1.64207,2.23468,1.37084,0.86836,0.90993,0.93563,0.51061,1.56925,1.89462,1.18071,0.000648649,0.000648649,0.000648649
2,19.539,1.40545,0.93601,1.23947,0.75545,0.84483,0.88401,0.49549,1.41688,1.09562,1.17536,0.00130229,0.00130229,0.00130229
3,26.5177,1.45144,0.94427,1.23531,0.00098,0.24138,0.00024,9e-05,3.10655,inf,7.46563,0.00194274,0.00194274,0.00194274
4,36.1241,1.40746,0.86887,1.22188,0.01757,0.7069,0.01501,0.00732,1.77239,46.7652,1.31257,0.0019406,0.0019406,0.0019406
5,45.2632,1.3786,0.79282,1.23062,0.10004,0.36031,0.05774,0.02164,2.49687,8.26342,1.89751,0.0019208,0.0019208,0.0019208
6,54.9492,1.40694,0.85056,1.26592,0.81258,0.74138,0.81834,0.38517,1.79955,1.32444,1.36532,0.001901,0.001901,0.001901
7,62.4371,1.37855,0.78298,1.23831,0.97976,0.8345,0.93445,0.50033,1.50002,1.29057,1.19775,0.0018812,0.0018812,0.0018812
8,71.9567,1.36184,0.79493,1.22791,0.83838,0.71559,0.76374,0.40728,1.52863,1.36709,1.29565,0.0018614,0.0018614,0.0018614
9,78.5621,1.30824,0.72098,1.18676,0.97887,0.98276,0.99117,0.64532,1.24676,0.63513,1.11187,0.0018416,0.0018416,0.0018416
10,88.0719,1.33689,0.71936,1.22218,0.9886,1,0.995,0.57003,1.50626,0.69628,1.17169,0.0018218,0.0018218,0.0018218
11,98.967,1.30863,0.72416,1.19824,0.94418,1,0.99467,0.46859,1.57148,1.08085,1.25479,0.001802,0.001802,0.001802
12,109.137,1.32421,0.71344,1.21256,0.99837,1,0.995,0.6346,1.30689,0.55914,1.12095,0.0017822,0.0017822,0.0017822
13,117.848,1.26843,0.66364,1.18205,0.99843,1,0.995,0.65189,1.2168,0.56744,1.09131,0.0017624,0.0017624,0.0017624
14,128.31,1.26795,0.6664,1.17812,0.99831,1,0.995,0.56338,1.41021,0.57647,1.1502,0.0017426,0.0017426,0.0017426
15,136.334,1.31628,0.6766,1.21248,0.97942,0.94828,0.99099,0.46203,1.69731,0.68306,1.27946,0.0017228,0.0017228,0.0017228
16,144.958,1.28105,0.67031,1.16873,0.99487,1,0.995,0.57017,1.51592,0.60914,1.21246,0.001703,0.001703,0.001703
17,152.738,1.26704,0.67169,1.17221,0.93874,0.94828,0.96278,0.56327,1.46625,0.83458,1.19509,0.0016832,0.0016832,0.0016832
18,161.701,1.2618,0.66664,1.17914,0.97848,1,0.99449,0.65879,1.19401,0.56329,1.06475,0.0016634,0.0016634,0.0016634
19,168.877,1.27576,0.65838,1.163,0.99083,1,0.995,0.58929,1.47453,0.70009,1.20349,0.0016436,0.0016436,0.0016436
20,177.159,1.25593,0.65373,1.1728,0.99849,1,0.995,0.61797,1.33589,0.53683,1.1508,0.0016238,0.0016238,0.0016238
21,184.246,1.24749,0.65142,1.17758,0.99483,1,0.995,0.58044,1.45821,0.59864,1.19963,0.001604,0.001604,0.001604
22,191.037,1.23214,0.62916,1.17513,0.99842,1,0.995,0.64927,1.23517,0.48984,1.09124,0.0015842,0.0015842,0.0015842
23,197.492,1.2175,0.62494,1.15891,0.99876,1,0.995,0.55835,1.48062,0.54342,1.19028,0.0015644,0.0015644,0.0015644
24,205.275,1.23569,0.61326,1.16173,0.99864,1,0.995,0.57753,1.38473,0.52277,1.15241,0.0015446,0.0015446,0.0015446
25,211.367,1.21568,0.62708,1.16029,0.99861,1,0.995,0.65912,1.16046,0.50071,1.07315,0.0015248,0.0015248,0.0015248
26,219.231,1.19155,0.60809,1.15042,0.99784,0.98276,0.99483,0.6177,1.28231,0.53996,1.123,0.001505,0.001505,0.001505
27,226.688,1.19706,0.60883,1.15666,0.9982,1,0.995,0.6274,1.27547,0.51511,1.11684,0.0014852,0.0014852,0.0014852
